SYNONYM,SYMBOL
MTSS1L,MTSS2
MUM1L1,PWWP3B
MUM1,PWWP3A
MURC,CAVIN4
MUT,MMUT
MYEOV2,COPS9
MYLPF,MYL11
ARS,SLURP1
LINC00032,REXO6P
SPACA6P,SPACA6
LINC00094,BRD3OS
LINC00116,MTLN
LINC00152,CYTOR
LINC00162,PICSAR
LINC00167,PRDM10-DT
LINC00176,C20orf204
DNL2,DNASE2
OBFC1,STN1
ODF3L1,CIMAP1C
ODF3L2,CIMAP1D
ODF3,CIMAP1A
PAK7,PAK5
PAPD4,TENT2
PAPD5,TENT4B
PAPD7,TENT4A
PAPL,ACP7
PARK2,PRKN
PCNX,PCNX1
PDDC1,GATD1
PDZD3,NHERF4
PHB,PHB1
PLA2G16,PLAAT3
PLEKHM1P,PLEKHM1P1
PNMAL1,PNMA8A
PNMAL2,PNMA8B
PPAP2A,PLPP1
PPAP2B,PLPP3
PPAP2C,PLPP2
PPAPDC1A,PLPP4
PPAPDC1B,PLPP5
PPAPDC2,PLPP6
PPAPDC3,PLPP7
PPP2R4,PTPA
PQLC1,SLC66A2
PQLC2,SLC66A1
PQLC3,SLC66A3
PRKCDBP,CAVIN3
PRKRIR,THAP12
PROL1,OPRPN
PROSC,PLPBP
PRSS42,PRSS42P
PRSS45,PRSS45P
PRUNE,PRUNE1
PTCHD2,DISP3
PVRL1,NECTIN1
PVRL2,NECTIN2
PVRL3,NECTIN3
PVRL4,NECTIN4
PYCRL,PYCR3
QARS,EPRS1
QTRTD1,QTRT2
RARRES3,PLAAT4
RARS,RARS1
REG1P,REG1CP
RFWD2,COP1
RGAG1,RTL9
RGAG4,RTL5
RLTPR,CARMIL2
RNF165,ARK2C
RNF219,OBI1
RNMTL1,MRM3
RPSAP58,RPSA2
RQCD1,CNOT9
SARS,SARS2
ZBED9,SCAND3
SDCCAG3,ENTR1
SDPR,CAVIN2
SELK,SELENOK
VIMP,SELENOS
SELT,SELENOT
SELV,SELENOV
SEPN1,SELENON
SEPP1,SELENOP
SEPT10,SEPTIN10
SEPT11,SEPTIN11
SEPT12,SEPTIN12
SEPT14,SEPTIN14
SEPT1,SEPTIN1
SEPT2,SEPTIN6
SEPT3,SEPTIN3
SEPT4,SEPTIN4
SEPT5,SEPTIN5
SEPT6,SEPTIN6
SEPT7P9,SEPTIN7P9
SEPT7P2,SEPTIN7P2
SEPT7,SEPTIN7
SEPT8,SEPTIN8
SEPT9,SEPTIN9
SEPW1,SELENOW
SETD8,KMT5A
SGOL1,SGO1
SGOL2,SGO2
SHFM1,SEM1
SKINTL,SKINT1L
SKIV2L2,MTREX
SKIV2L,SKIC2
SLC26A10,SLC26A10P
SLC35E2,SLC35E2A
SLMO1,PRELID3A
SLMO2,PRELID3B
SMEK1,PPP4R3A
SMEK2,PPP4R3B
SNORA34,SNORA2C
SNORA45B,SNORA3B
SPATA5L1,AFG2B
SPATA5,AFG2A
SPERT,CBY2
SPG20,SPART
SQRDL,SQOR
SRPR,SRPRA
SSFA2,ITPRID2
SSPO,SSPOP
SSSCA1,ZNRD2
SSX6,SSX6P
ST5,DENND2B
SUV420H1,KMT5B
SUV420H2,KMT5C
TARSL2,TARS3
TARS,TARS1
TAZ,WWTR1
TBC1D29,TBC1D29P
TCEB1,ELOC
TCEB2,ELOB
TCEB3B,ELOA2
TCEB3C,ELOA3P
TCEB3,ELOA
TCP10,TCP10L3
TCTE3,DYNLT2
TCTEX1D1,DYNLT5
TCTEX1D2,DYNLT2B
TCTEX1D4,DYNLT4
TEPP,SPMIP8
THEG,SPMAP2
TIAF1,MYO18A
TMEM110,STIMATE
TMEM133,ARHGAP42
TMEM136,TLCD5
TMEM14E,TMEM14EP
TMEM159,LDAF1
TMEM173,STING1
TMEM180,MFSD13A
TMEM194A,NEMP1
TMEM194B,NEMP2
TMEM206,PACC1
TMEM211,LHFPL7
TMEM27,CLTRN
TMEM2,CEMIP2
TMEM30C,TMEM30CP
TMEM35,TMEM35A
TMEM55A,PIP4P2
TMEM55B,PIP4P1
TMEM56,TLCD4
TMEM57,MACO1
TMEM5,RXYLT1
TMEM8A,PGAP6
TMEM8C,MYMK
TMEM99,KRT10-AS1
TOMM70A,TOMM70
TROVE2,RO60
TSSC1,EIPR1
TTC25,ODAD4
TTC26,IFT56
TTC30A,IFT70A
TTC30B,IFT70B
TTC37,SKIC3
TTLL13P,TTLL13
TUSC5,TRARG1
TWISTNB,POLR1F
TXNRD3NB,TXNRD3
T,TBXT
UFD1L,UFD1
UHRF1BP1L,BLTP3B
UHRF1BP1,BLTP3A
UPK3BL,UPK3BL1
USMG5,ATP5MK
UTP11L,UTP11
VARS,VARS1
VNN3,VNN3P
VPRBP,DCAF1
WAPAL,WAPL
WARS,WARS1
WBP5,TCEAL9
WBSCR17,GALNT17
WBSCR22,BUD23
ABHD11-AS1,BICDL3P
WBSCR27,METTL27
WBSCR28,TMEM270
WDR34,DYNC2I2
WDR60,DYNC2I1
WDR61,SKIC8
WDR63,DNAI3
WDR66,CFAP251
WDR78,DNAI4
WDR92,DNAAF10
WHSC1L1,NSD3
WHSC1,NSD2
WIBG,PYM1
WISP1,CCN4
WISP2,CCN5
WISP3,CCN6
WRB,GET1
XRCC6BP1,ATP23
YARS,YARS1
ZADH2,PTGR3
ZAK,MAP3K20
ZCCHC11,TUT4
ZCCHC16,RTL4
ZCCHC5,RTL3
ZCCHC6,TUT7
ZDHHC8P1,ZDHHC8BP
ZNF192P1,ZKSCAN8P1
ZNF645,CBLL2
ZNF720,KRBOX5
ZNF788,ZNF788P
ZNRD1,POLR1H
ZUFSP,ZUP1
FCGR1B,FCGR1BP
HIST2H2AA3,H2AC18
HIST2H2AA4,H2AC19
HIST2H2AB,H2AC21
HIST2H2AC,H2AC20
HIST2H2BA,H2BP1
HIST2H2BE,H2BC21
HIST2H2BF,H2BC18
HIST2H3A,H3C15
HIST2H3C,H3C14
HIST2H3D,H3C13
HIST2H4A,H4C14
HIST2H4B,H4C15
LOR,LOXL2
GBAP1,GBA1LP
GBA,GBA1
FAM189B,ENTREP3
RRNAD1,METTL25B
DUSP27,DUSP29
FAM71A,GARIN4
EPRS,EPRS1
H3F3A,H3-3A
BTNL10,BTNL10P
HIST3H2A,H2AC25
HIST3H2BB,H2BC26
HIST3H3,H3-4
ADSS,ADSS2
OR2W5,OR2W5P
LINC00535,CIBAR1-DT
WDYHV1,NTAQ1
TMEM75,LINC02912
FAM49B,CYRIB
LRRC6,DNAAF11
CASC7,AGO2
TSTA3,GFUS
CYHR1,ZFTRAF1
MARCH10,MARCHF10
PRPF4B,PRP4K
TDGF1P3,CRIPTO3
TDGF1,CRIPTO
METTL11B,NTMT2
MARC2,MTARC2
MARC1,MTARC1
FAM90A24P,FAM90A24
LINC00599,MIR124-1HG
FAM160B2,FHIP2B
EFCAB1,CLXN
IMPAD1,BPNT2
SLC9A3R2,NHERF2
LINC00672,LASP1NB
HILS1,H1-9P
FAM104A,VCF1
SLC9A3R1,NHERF1
H3F3B,H3-3B
TMEM189,PEDS1
